author,name,url,description,language,spoken_language,stars
apache,seatunnel,https://github.com/apache/seatunnel,"SeaTunnel is a next-generation super high-performance, distributed, massive data integration tool.",Java,English,7471
Telegram-FOSS-Team,Telegram-FOSS,https://github.com/Telegram-FOSS-Team/Telegram-FOSS,"Unofficial, FOSS-friendly fork of the original Telegram client for Android",Java,English,2698
xCollateral,VulkanMod,https://github.com/xCollateral/VulkanMod,Vulkan renderer mod for Minecraft.,Java,English,1382
jeremylong,DependencyCheck,https://github.com/jeremylong/DependencyCheck,OWASP dependency-check is a software composition analysis utility that detects publicly disclosed vulnerabilities in application dependencies.,Java,English,5946
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,English,183993
poteto,hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,⭐️ Companies that don't have a broken hiring process,JavaScript,English,42165
microsoft,Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",JavaScript,English,81807
axios,axios,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js,JavaScript,English,104261
plankanban,planka,https://github.com/plankanban/planka,The realtime kanban board for workgroups built with React and Redux.,JavaScript,English,6848
koodo-reader,koodo-reader,https://github.com/koodo-reader/koodo-reader,"A modern ebook manager and reader with sync and backup capacities for Windows, macOS, Linux and Web",JavaScript,English,16238
mishoo,UglifyJS,https://github.com/mishoo/UglifyJS,JavaScript parser / mangler / compressor / beautifier toolkit,JavaScript,English,12964
fastify,fastify,https://github.com/fastify/fastify,"Fast and low overhead web framework, for Node.js",JavaScript,English,30886
sudheerj,reactjs-interview-questions,https://github.com/sudheerj/reactjs-interview-questions,List of top 500 ReactJS Interview Questions & Answers....Coding exercise questions are coming soon!!,JavaScript,English,37174
OCA,web,https://github.com/OCA/web,Odoo web client UI related addons,JavaScript,English,871
sun0225SUN,Awesome-Love-Code,https://github.com/sun0225SUN/Awesome-Love-Code,表白代码收藏馆~谁说程序猿不懂浪漫❤️,JavaScript,English,2087
gethomepage,homepage,https://github.com/gethomepage/homepage,A highly customizable homepage (or startpage / application dashboard) with Docker and service API integrations.,JavaScript,English,16616
dimdenGD,OldTwitter,https://github.com/dimdenGD/OldTwitter,Extension to return old Twitter layout from 2015 / 2018.,JavaScript,English,1655
vincelwt,chatgpt-mac,https://github.com/vincelwt/chatgpt-mac,"ChatGPT for Mac, living in your menubar.",JavaScript,English,6331
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,List of 1000 JavaScript Interview Questions,JavaScript,English,22202
meshery,meshery,https://github.com/meshery/meshery,"Meshery, the cloud native manager",JavaScript,English,4946
simple-icons,simple-icons,https://github.com/simple-icons/simple-icons,SVG icons for popular brands,JavaScript,English,18315
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,📜 33 JavaScript concepts every developer should know.,JavaScript,English,62318
github,relative-time-element,https://github.com/github/relative-time-element,Web component extensions to the standard <time> element.,JavaScript,English,3216
carbon-design-system,carbon,https://github.com/carbon-design-system/carbon,A design system built by IBM,JavaScript,English,7507
yokoffing,Betterfox,https://github.com/yokoffing/Betterfox,"Firefox user.js for speed, privacy, and security. Your favorite browser, but better.",JavaScript,English,3752
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac," Now we have become very big, Different from the original idea. Collect premium software in various categories.",JavaScript,English,72083
artilleryio,artillery,https://github.com/artilleryio/artillery,"The complete load testing platform. Everything you need for production-grade load tests. Serverless & distributed. Load test with Playwright. Load test HTTP APIs, GraphQL, WebSocket, and more. Use any Node.js module.",JavaScript,English,7555
jgraph,drawio-desktop,https://github.com/jgraph/drawio-desktop,Official electron build of draw.io,JavaScript,English,47241
open-domains,register,https://github.com/open-domains/register,"Free subdomains for personal sites, open-source projects, and more.",JavaScript,English,982
f,awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,This repo includes ChatGPT prompt curation to use ChatGPT better.,HTML,English,105262
kananinirav,AWS-Certified-Cloud-Practitioner-Notes,https://github.com/kananinirav/AWS-Certified-Cloud-Practitioner-Notes,AWS Certified Cloud Practitioner Short Notes And Practice Exams (CLF-C02),HTML,English,1028
rfordatascience,tidytuesday,https://github.com/rfordatascience/tidytuesday,Official repo for the #tidytuesday project,HTML,English,6463
cotes2020,jekyll-theme-chirpy,https://github.com/cotes2020/jekyll-theme-chirpy,"A minimal, responsive, and feature-rich Jekyll theme for technical writing.",HTML,English,6461
markodenic,web-development-resources,https://github.com/markodenic/web-development-resources,Awesome Web Development Resources.,HTML,English,6867
judge0,judge0,https://github.com/judge0/judge0,🔥 The most advanced open-source online code execution system in the world.,HTML,English,2224
alshedivat,al-folio,https://github.com/alshedivat/al-folio,"A beautiful, simple, clean, and responsive Jekyll theme for academics",HTML,English,9381
meichthys,foss_photo_libraries,https://github.com/meichthys/foss_photo_libraries,Free and Open Source Photo Libraries,HTML,English,1385
thedev-id,thedev.id,https://github.com/thedev-id/thedev.id,Identity for developers on the web.,HTML,English,998
ironhack-labs,lab-css-flexbox-slack,https://github.com/ironhack-labs/lab-css-flexbox-slack,,HTML,English,33
okta,okta-help,https://github.com/okta/okta-help,HTML output of Okta product documentation,HTML,English,1
OCA,server-ux,https://github.com/OCA/server-ux,,HTML,English,145
badmojr,1Hosts,https://github.com/badmojr/1Hosts,World's most advanced DNS filter-/blocklists!,HTML,English,1363
ripienaar,free-for-dev,https://github.com/ripienaar/free-for-dev,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",HTML,English,84793
microsoft,BotBuilder-Samples,https://github.com/microsoft/BotBuilder-Samples,"Welcome to the Bot Framework samples repository. Here you will find task-focused samples in C#, JavaScript/TypeScript, and Python to help you get started with the Bot Framework SDK!",HTML,English,4293
whos-evan,elixir,https://github.com/whos-evan/elixir,"Elixir is a beautiful proxy made using Tailwind CSS, Ultraviolet and bare-server!",HTML,English,56
vikramlearning,blazorbootstrap,https://github.com/vikramlearning/blazorbootstrap,An Enterprise-class Blazor Bootstrap Component library built on the Blazor and Bootstrap CSS frameworks.,HTML,English,517
freeCodeCamp,boilerplate-project-urlshortener,https://github.com/freeCodeCamp/boilerplate-project-urlshortener,A boilerplate for a freeCodeCamp project.,HTML,English,61
OCA,knowledge,https://github.com/OCA/knowledge,Odoo Document & Knowledge Management,HTML,English,147
freeCodeCamp,boilerplate-project-exercisetracker,https://github.com/freeCodeCamp/boilerplate-project-exercisetracker,A boilerplate for a freeCodeCamp project.,HTML,English,46
freeCodeCamp,boilerplate-project-headerparser,https://github.com/freeCodeCamp/boilerplate-project-headerparser,A boilerplate for a freeCodeCamp project.,HTML,English,41
OCA,crm,https://github.com/OCA/crm,"Odoo CRM, Mail & Newsletter advanced features",HTML,English,143
freeCodeCamp,boilerplate-project-timestamp,https://github.com/freeCodeCamp/boilerplate-project-timestamp,A boilerplate for a freeCodeCamp project.,HTML,English,104
OCA,management-system,https://github.com/OCA/management-system,"Odoo for Management Systems (ISO, IEC, BS)",HTML,English,180
OCA,purchase-workflow,https://github.com/OCA/purchase-workflow,"Odoo Purchases, Workflow and Organization",HTML,English,188
authelia,authelia,https://github.com/authelia/authelia,The Single Sign-On Multi-Factor portal for web apps,Go,English,20061
jesseduffield,lazydocker,https://github.com/jesseduffield/lazydocker,The lazier way to manage everything docker,Go,English,34244
containers,skopeo,https://github.com/containers/skopeo,"Work with remote images registries - retrieving information, images, signing content",Go,English,7512
projectdiscovery,katana,https://github.com/projectdiscovery/katana,A next-generation crawling and spidering framework.,Go,English,8851
schollz,croc,https://github.com/schollz/croc,Easily and securely send things from one computer to another 🐊 📦,Go,English,26546
gorilla,websocket,https://github.com/gorilla/websocket,"Package gorilla/websocket is a fast, well-tested and widely used WebSocket implementation for Go.",Go,English,21360
apache,incubator-answer,https://github.com/apache/incubator-answer,"A Q&A platform software for teams at any scales. Whether it's a community forum, help center, or knowledge management platform, you can always count on Apache Answer.",Go,English,11627
weaviate,weaviate,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",Go,English,9820
avelino,awesome-go,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",Go,English,122519
volcano-sh,volcano,https://github.com/volcano-sh/volcano,A Cloud Native Batch System (Project under CNCF),Go,English,3824
juicedata,juicefs,https://github.com/juicedata/juicefs,JuiceFS is a distributed POSIX file system built on top of Redis and S3.,Go,English,9902
prometheus,node_exporter,https://github.com/prometheus/node_exporter,Exporter for machine metrics,Go,English,10432
milvus-io,milvus,https://github.com/milvus-io/milvus,"A cloud-native vector database, storage for next generation AI applications",Go,English,27433
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,simple terminal UI for git commands,Go,English,46678
usememos,memos,https://github.com/usememos/memos,"An open source, lightweight note-taking service. Easily capture and share your great thoughts.",Go,English,27876
cloudnative-pg,cloudnative-pg,https://github.com/cloudnative-pg/cloudnative-pg,"CloudNativePG is a comprehensive platform designed to seamlessly manage PostgreSQL databases within Kubernetes environments, covering the entire operational lifecycle from initial deployment to ongoing maintenance",Go,English,3555
junegunn,fzf,https://github.com/junegunn/fzf,🌸 A command-line fuzzy finder,Go,English,60631
nektos,act,https://github.com/nektos/act,Run your GitHub Actions locally 🚀,Go,English,51026
